Date,Country_Code,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-30,IN,India,1,1,0,0
2020-01-31,IN,India,0,1,0,0
2020-02-01,IN,India,0,1,0,0
2020-02-02,IN,India,1,2,0,0
2020-02-03,IN,India,1,3,0,0
2020-02-04,IN,India,0,3,0,0
2020-02-05,IN,India,0,3,0,0
2020-02-06,IN,India,0,3,0,0
2020-02-07,IN,India,0,3,0,0
2020-02-08,IN,India,0,3,0,0
2020-02-09,IN,India,0,3,0,0
2020-02-10,IN,India,0,3,0,0
2020-02-11,IN,India,0,3,0,0
2020-02-12,IN,India,0,3,0,0
2020-02-13,IN,India,0,3,0,0
2020-02-14,IN,India,0,3,0,0
2020-02-15,IN,India,0,3,0,0
2020-02-16,IN,India,0,3,0,0
2020-02-17,IN,India,0,3,0,0
2020-02-18,IN,India,0,3,0,0
2020-02-19,IN,India,0,3,0,0
2020-02-20,IN,India,0,3,0,0
2020-02-21,IN,India,0,3,0,0
2020-02-22,IN,India,0,3,0,0
2020-02-23,IN,India,0,3,0,0
2020-02-24,IN,India,0,3,0,0
2020-02-25,IN,India,0,3,0,0
2020-02-26,IN,India,0,3,0,0
2020-02-27,IN,India,0,3,0,0
2020-02-28,IN,India,0,3,0,0
2020-02-29,IN,India,0,3,0,0
2020-03-01,IN,India,0,3,0,0
2020-03-02,IN,India,2,5,0,0
2020-03-03,IN,India,0,5,0,0
2020-03-04,IN,India,22,27,0,0
2020-03-05,IN,India,2,29,0,0
2020-03-06,IN,India,2,31,0,0
2020-03-07,IN,India,3,34,0,0
2020-03-08,IN,India,5,39,0,0
2020-03-09,IN,India,5,44,0,0
2020-03-10,IN,India,6,50,0,0
2020-03-11,IN,India,10,60,0,0
2020-03-12,IN,India,14,74,0,0
2020-03-13,IN,India,7,81,1,1
2020-03-14,IN,India,3,84,1,2
2020-03-15,IN,India,23,107,0,2
2020-03-16,IN,India,7,114,0,2
2020-03-17,IN,India,23,137,1,3
2020-03-18,IN,India,14,151,0,3
2020-03-19,IN,India,44,195,1,4
2020-03-20,IN,India,0,195,0,4
2020-03-21,IN,India,88,283,0,4
2020-03-22,IN,India,58,341,1,5
2020-03-23,IN,India,93,434,4,9
2020-03-24,IN,India,85,519,0,9
2020-03-25,IN,India,87,606,1,10
2020-03-26,IN,India,43,649,3,13
2020-03-27,IN,India,75,724,4,17
2020-03-28,IN,India,0,724,0,17
2020-03-29,IN,India,255,979,8,25
2020-03-30,IN,India,92,1071,4,29
2020-03-31,IN,India,180,1251,3,32
2020-04-01,IN,India,385,1636,6,38
2020-04-02,IN,India,329,1965,12,50
2020-04-03,IN,India,336,2301,6,56
2020-04-04,IN,India,601,2902,12,68
2020-04-05,IN,India,472,3374,9,77
2020-04-06,IN,India,693,4067,32,109
2020-04-07,IN,India,354,4421,5,114
2020-04-08,IN,India,853,5274,35,149
2020-04-09,IN,India,591,5865,20,169
2020-04-10,IN,India,547,6412,30,199
2020-04-11,IN,India,1035,7447,40,239
2020-04-12,IN,India,909,8356,34,273
2020-04-13,IN,India,796,9152,35,308
2020-04-14,IN,India,1211,10363,31,339
2020-04-15,IN,India,1076,11439,38,377
2020-04-16,IN,India,941,12380,37,414
2020-04-17,IN,India,1007,13387,23,437
2020-04-18,IN,India,991,14378,43,480
2020-04-19,IN,India,1334,15712,27,507
2020-04-20,IN,India,1553,17265,36,543
2020-04-21,IN,India,1336,18601,47,590
2020-04-22,IN,India,1383,19984,50,640
2020-04-23,IN,India,1409,21393,41,681
2020-04-24,IN,India,1684,23077,37,718
2020-04-25,IN,India,1429,24506,57,775
2020-04-26,IN,India,1990,26496,49,824
2020-04-27,IN,India,1396,27892,48,872
2020-04-28,IN,India,1543,29435,62,934
2020-04-29,IN,India,1897,31332,73,1007
2020-04-30,IN,India,1718,33050,67,1074
2020-05-01,IN,India,1993,35043,73,1147
2020-05-02,IN,India,2293,37336,71,1218
2020-05-03,IN,India,2644,39980,83,1301
2020-05-04,IN,India,2553,42533,72,1373
2020-05-05,IN,India,3900,46433,195,1568
2020-05-06,IN,India,2958,49391,126,1694
2020-05-07,IN,India,3561,52952,89,1783
2020-05-08,IN,India,3390,56342,103,1886
2020-05-09,IN,India,3320,59662,95,1981
2020-05-10,IN,India,3277,62939,128,2109
2020-05-11,IN,India,4213,67152,97,2206
2020-05-12,IN,India,3604,70756,87,2293
2020-05-13,IN,India,3525,74281,122,2415
2020-05-14,IN,India,3722,78003,134,2549
2020-05-15,IN,India,3967,81970,100,2649
2020-05-16,IN,India,3970,85940,103,2752
2020-05-17,IN,India,4987,90927,120,2872
2020-05-18,IN,India,5242,96169,157,3029
2020-05-19,IN,India,4970,101139,134,3163
2020-05-20,IN,India,5611,106750,140,3303
2020-05-21,IN,India,5609,112359,132,3435
2020-05-22,IN,India,6088,118447,148,3583
2020-05-23,IN,India,6654,125101,137,3720
2020-05-24,IN,India,6767,131868,147,3867
2020-05-25,IN,India,6977,138845,154,4021
2020-05-26,IN,India,6535,145380,146,4167
2020-05-27,IN,India,6387,151767,170,4337
2020-05-28,IN,India,6566,158333,194,4531
2020-05-29,IN,India,7466,165799,175,4706
2020-05-30,IN,India,7964,173763,265,4971
2020-05-31,IN,India,8380,182143,193,5164
2020-06-01,IN,India,8392,190535,230,5394
